Question Glance,Question 1,Answer,Company,Role
Role fit,On a scale of 1 (not a fit) to 10 (perfect fit) how would you rate your potential fit for the role for which you're applying? Please share why.,"8.5. I’ve led critical systems and high-performing teams through major product replatforms and infrastructure overhauls. At LegalShield, I managed an 8 person team through a company-wide checkout replatform supporting $250M/year in transactions. At Vacasa, I built the guest messaging infrastructure and retooled CX workflows, directly improving the most sensitive surface area for 3M+ active guests. While I haven’t worked in Go, I have deep experience scaling systems in production and picking up new technologies quickly. I’m drawn to Mattermost’s focus on secure, mission-critical collaboration—something I’ve supported not just in tech, but also through medical team volunteering and SAR training.",Untitled (https://www.notion.so/2316509554a781168d94c2d0f7cc4cb5?pvs=21),
opensource contribution,"Have you used Mattermost previously or contributed to the open source project? If so, please tell us the ways you've been involved.","I haven’t used or contributed to Mattermost yet, but I’m excited by the platform’s open-source roots and focus on secure, mission-critical collaboration. I’d love the chance to contribute both as a user and a leader shaping the future of the product.",Untitled (https://www.notion.so/2316509554a781168d94c2d0f7cc4cb5?pvs=21),
why us?,Why do you want to join Figma? (Please share 3-4 sentences on why you want to join Figma),"I used Figma at LegalShield and immediately preferred it over InVision, which I’d previously used at both Vacasa and Dun & Bradstreet. The collaborative nature, ease of access, and speed of iteration made a real impact on our team velocity. It’s a tool that has directly supported my success as an engineering leader, and I’d be excited to contribute to something that’s already shaped how I work.",Untitled (https://www.notion.so/2316509554a78103bc43f93acee09da3?pvs=21),
why us?,What brings you to Zwift? (We love authentic responses that come from your own thoughts and experiences. AI assisted applications will be omitted from further review.),"I just finished a solo bike tour from China to Portugal—10,500 miles over 10 months. I lived the highs and lows of the endurance athlete and rider's journey, and Zwift’s mission resonates deeply. It feels like the natural next step to channel that energy, community spirit, and endurance mindset into building tools that keep others moving, product-wise and within the Eng-org. While the long-range world tour is finished for now, I’m already planning my next challenge: a self-supported FKT attempt on the Badwater Classic multi-sport route (Death Valley to Whitney Summit) in October 2026.",Untitled (https://www.notion.so/2316509554a781568cbad11327df8e74?pvs=21),
lead experience,"Do you currently, or have you recently, had responsibilities for mentoring, coaching, or influencing other team members? (This could include formal people management with direct reports or informal leadership such as project management, technical leadership, or team mentorship.)","Yes. I’ve managed engineering teams of up to 9 people, providing coaching, career development, and technical mentorship. I’ve also led architecture discussions, cross-functional initiatives, and helped level up ICs through pairing, design reviews, and documentation practices.",Untitled (https://www.notion.so/2316509554a781568cbad11327df8e74?pvs=21),
Internal contact?,"Do you know anyone who works at Zwift? If you do, what is their name?","Drake Deuel, I don't personally know him, but he's the KOM on some of the biggest rides I've done, including Colorado’s Pike’s peak, many many hours under my time, which I originally thought was respectable.",Untitled (https://www.notion.so/2316509554a781568cbad11327df8e74?pvs=21),
site performance optimization,What are some ways to optimize the performance of a website? Mention a few techniques related to JavaScript and React.,"• -Reduce bundle size through minification, compression and then code split so bundles are only loaded when needed.
-Separate CSS into its own file for maintainability, but inline critical styles for above-the-fold content to optimize First Contentful Paint (FCP) and ensure users see meaningful content quickly.
-Lazy load data to not overwhelm the client, one small trick is to preempt loading the likely next needed data (like the next page of data) to improve perceived performance.
-Can use memoization within react to avoid unnecessary rerenders
-Apply atomic design principles to break components into reusable, composable, shallow units to simplify render trees and make it more performant.
-Implement virtualization to only render what the user sees.
-For state management, keep state as close to components as possible to prevent prop drilling and unnecessary renders.
• Minification, compression, code splitting, inline CSS for above the fold FCP, lazy loading, memoization, atomic design, virtualization, colocated state
• Reduce bundle size through minification and compression, then apply code splitting to load only what’s needed per route or interaction.
• Separate CSS into its own file for maintainability, but inline critical CSS for above-the-fold content to speed up First Contentful Paint (FCP).
• Lazy load data and components to avoid overwhelming the main thread. Preload likely-needed data (e.g., the next page) for smoother UX.
• Use memoization in React (useMemo, useCallback, React.memo) to avoid unnecessary recalculations and re-renders.
• Apply Atomic Design principles to break components into reusable, shallow, and composable units—making the render tree simpler and more performant.
• Co-locate state near the components that need it to reduce prop drilling and unnecessary renders. For complex flows, use useReducer or selector-driven state stores.
• final

    ◦ Minification, compression, code splitting, inline CSS for above the fold FCP, lazy loading, memoization, atomic design, virtualization, colocated state",Untitled (https://www.notion.so/2316509554a781e687dfeefb9c18e2df?pvs=21),
clean code,What are some best practices for writing clean and maintainable code?,"• raw
    ◦ -Write clear, self-documenting names to reduce the need for comments which decay faster
-Augment code with doc comments that can support auto-generated documentation tooling.
-Write pure functions to understand method signatures, avoid side effects, and support unit testing
-Add unit and e2e/integration tests to automatically validate expected behavior
-Run tests (unit/e2e/integration) on PRs and in CI/CD build flows to automatically catch failures
-Apply standard auto linting/formatting to code
-Implement and fill in explanatory git commits (standard branch name) and PR templates for code base history
-Keep things DRY and KISS them to avoid over-engineering and duplication
-Use a typed language to enforce contracts and reduce runtime bugs
-Apply SOLID principles for separation of concern and support scalable architecure
• Use clear, self-documenting names for variables, functions, and components to reduce the need for excessive comments.
• Write doc comments where necessary, especially for public APIs or complex logic — ideally compatible with auto-generated documentation tools.
• Favor pure functions where possible to improve predictability, ease of testing, and composability.
• Write unit, integration, and end-to-end tests to validate behavior across layers of your system.
• Automate test execution in CI/CD pipelines to catch regressions early and keep code trustworthy.
• Follow DRY (Don’t Repeat Yourself) and KISS (Keep It Simple, Stupid) principles to avoid duplication and over-engineering.
• Use a typed language (e.g., TypeScript) to enforce contracts and reduce runtime bugs through static analysis.
• Apply SOLID principles to guide your architecture, improve separation of concerns, and support scalable design.
• final
    ◦ Self-documenting names, doc comments that support auto-generated documentation, unit/e2e/integration tests, run tests on PR and in CICD, DRY/KISS code logic, SOLID principles,  typed language",Untitled (https://www.notion.so/2316509554a781e687dfeefb9c18e2df?pvs=21),
tech learning,What are your preferred methods for learning new technologies or frameworks?,"• I attend tech meetups and events to chat with founders, engineering managers and ICs as well as network with current and former colleagues to discover and share practices, tooling, learnings.
• Pursue micro-credentials and courses (eg, AWS or “Exponents” EM course) to solidify and expand business, managerial and technical skills + knowledge
• Read business and coding books like The Pragmatic Programmer, The Power of Habit to absorb and apply new lessons
• Work with professional coaches on management best practices as well as system design and architecture skills
• Build personal projects that implement new design patterns, frameworks or technologies I want to learn - I’m currently working on an AI-assisted job tracking CRM with integrated with Notion
• final

    ◦ Meetups, conferences, events, networking, reading blogs/books, personal projects, micro-credentials, online courses, professional coaching,",Untitled (https://www.notion.so/2316509554a781e687dfeefb9c18e2df?pvs=21),
code percentage,"What percentage of your current role is hands-on coding? List your proficient tech stack, including experience with React, TypeScript, and PHP.","• My current role is 60% hands-on coding with the other 40% split between cross functional collaboration, system design and architecture and career pathing engineers. I am proficient in React, Node Express, both using typescript and interfacing and working in C#/.NET back ends and microservices. In my Vacasa role, I dove deep into PHP admin pages to update and optimize are most heavily used CX flows as well as start integrating micro-React SPAs to migrate to a modern interface.
• final

    ◦ 60% hands-on coding, with the rest focused on architecture, cross-functional collaboration, and career development. I’m proficient in React, Node, and Express (TypeScript), and have experience working with C#/.NET micro-services and PHP legacy systems",Untitled (https://www.notion.so/2316509554a781e687dfeefb9c18e2df?pvs=21),
lead experience,"In 2-3 sentences, describe your experience leading technical teams. What team sizes have you managed?*","• I’ve lead technical teams across the spectrum from 3 engineers at Dun & Bradstreet and Hooked to 5 at Vacasa, and up to 8-9 at LegalShield - ranging from intermediate to principal-level engineers. My leadership experience spans startups through growth-stage venture-backed to public company environments, where I have successfully guided reports through multiple promotion cycles and restructured teams to better align with evolving business goals.
• final

    ◦ I’ve led teams up to 9 engineers at LegalShield, ranging from intermediate to principal level. My leadership spans startups to growth-stage and public companies and have successfully guided reports through multiple promotion cycles and team restructuring",Untitled (https://www.notion.so/2316509554a781e687dfeefb9c18e2df?pvs=21),
eng motivation,"In 2-3 sentences, please share how you motivate and mentor engineers on your team.","• Motivation comes from supporting engineers to understand the business product, goals and it’s impact on the business through coaching, and accessible product and project management documentation, visibility and accessibility. Then mapping the engineers skills and desired skills to opportunities in the road map and finally celebrating the wins at an individual, team and org level through acknowledgement in promotion, presentations and recognition.
• final

    ◦ Motivation comes from helping engineers understand the product, goals, and business impact through coaching and accessible documentation—then mapping their skills to roadmap opportunities and celebrating wins across all levels.",Untitled (https://www.notion.so/2316509554a781e687dfeefb9c18e2df?pvs=21),
why us?,Tell us what is exciting to you about Prepared 911.,"As a certified Wilderness First Responder and former volunteer first responder, I’ve experienced firsthand the urgency and clarity required in accident, disaster, illness, and injury response. Those skills have helped me save lives—including my own—and they’ve left me with a deep respect for the systems that support responders. The mission behind Prepared 911 resonates with me personally: efficient, real-time communication in moments that matter can be the difference between life and death.
Professionally, I’ve led engineering teams to build high-reliability customer messaging tools at scale, including a platform that supported 3M+ guests across 38,000 properties. At Vacasa, I stood up the CX Tools team to replace brittle legacy workflows with scalable, real-time systems—driving a 20% improvement in resolution time and enabling faster, clearer communication across users and agents. I’m excited by the opportunity to bring both my technical leadership and my on-the-ground emergency response perspective to a mission as important as yours.",Untitled (https://www.notion.so/2316509554a7813f809dd7d306744834?pvs=21),
Desired salary,What is your desired salary?,"$160,000–$170,000 base salary, aligned with the posted range and flexible depending on total compensation.",Untitled (https://www.notion.so/2316509554a7818e9a3eefbd93bb8591?pvs=21),
uniqueness,Tell us what makes you unique. Try to be creative and say something that will catch our eye!,"• I cycled 10,500 miles solo across 23 countries from China to Portugal. I documented the journey on a WordPress site I built myself: http://biketoworld.com/. I’m now writing a book about the experience—on what it takes to pursue huge goals, and what happens after you choose and commit to aligned endeavors.
• compressed

    ◦ I cycled 10,500 miles solo across 23 countries from China to Portugal. I documented the journey on a WordPress site I built myself: http://biketoworld.com/. I’m now writing a book about the experience—on what it takes to pursue huge goals.",Untitled (https://www.notion.so/2316509554a7818e9a3eefbd93bb8591?pvs=21),
lead experience,Tell me about the team sizes you have managed and the types of roles?,"I’ve led teams up to 9 engineers at LegalShield, ranging from intermediate to principal level. My leadership spans startups to growth-stage and public companies and have successfully guided reports through multiple promotion cycles and team restructuring",Untitled (https://www.notion.so/2316509554a7818e9a3eefbd93bb8591?pvs=21),
preferred stack,"What is your current go-to web stack for a new site build?For content-driven or no-code publishing, I typically use WordPress. ","• For full-stack applications, my go-to stack is TypeScript, React, and Node.js on AWS. When the backend doesn’t require tight coupling or shared types with the frontend, I’m interested in using Go for its simplicity and performance. I’m also exploring Netlify for deploying static and JAMstack sites with minimal infrastructure overhead. For rapid mobile prototyping, I use React Native on Expo.
• condensed

    ◦ Content-driven/no-code publishing: WordPress. Full-stack applications: TypeScript, React, and Node.js on AWS. When the backend doesn’t require tight coupling or shared types with the frontend - interested in Go and Netlify.",Untitled (https://www.notion.so/2316509554a7818e9a3eefbd93bb8591?pvs=21),
web portfolio experience,"Have you overseen a portfolio of websites? If so, could you describe your experience with site migrations?","I’ve led several complex platform migrations that required maintaining SEO, business continuity, and user experience. At Dun & Bradstreet, I re-architected the DUNS number registration flow, migrating it from a WordPress-based stack to a modern React frontend—preserving SEO equity and increasing conversion by 30%. At LegalShield, I led a full replatform of our $250M/year checkout system, modernizing legacy infrastructure while ensuring zero disruption to revenue-critical flows. I’ve also progressively migrated legacy PHP admin dashboards at Vacasa by integrating React SPAs, enabling a smoother, more scalable experience for 300+ agents.",Untitled (https://www.notion.so/2316509554a7818e9a3eefbd93bb8591?pvs=21),
impact experience,"Can you please describe the scope and impact of your work? What was the largest-scale project you've worked on? How did it impact the company/users? (money saved, time saved, scale, clients) Please qualify your impact. ***This is a critical question from the client.","At Dun & Bradstreet, I led the re-architecture of the DUNS number registration flow—migrating from a WordPress-based marketing stack to a modern React frontend. This initiative preserved SEO equity while increasing user conversion by 30%, significantly improving lead generation for a mission-critical product line.
At LegalShield, I managed a distributed engineering team and led the full replatforming of the company’s $250M/year checkout system. We modernized legacy infrastructure, improved performance and reliability, and introduced scalable architecture patterns that enabled A/B testing, experimentation, and sustainable growth across a revenue-critical flow.
At Vacasa, I built the CX Tools team from the ground up, launching internal platforms that empowered 300+ customer service agents to support over 3 million guests annually. These tools reduced ticket resolution time by 20%, increased chat volume, and contributed to a lift in customer satisfaction during a period of rapid operational scaling.
Across all of these roles, I’ve consistently led high-impact engineering initiatives that drove measurable outcomes—balancing technical rigor, product collaboration, and user experience at scale.",Untitled (https://www.notion.so/2316509554a78180a107d49cae738bb5?pvs=21),
why us?,Why do you want to work at Teamworks?,"Outside of professional technology, I compete in and pursue large athletic endeavors, identifying, roadmapping, and training for big feats. In the past few years, I’ve done triathlons and endurance backcountry ski races (including the Grand Traverse, a 40-mile push between two Colorado towns that starts at midnight) After a decade of software work, I recently wrapped up a sabbatical cycling from China to Portugal, and in one year I aim to bag the FKT for the Badwater Classic route from Death Valley to the summit of Mt. Whitney.
I match my discipline in athletic endeavors with consistent delivery, impact, skill acquisition in technology while coaching and leading effective teams - whom I maintain relationships with for years. Teamworks seems like a great place where we can jump between nerding out on technology stacks and sport.",Untitled (https://www.notion.so/2316509554a781d1ab20ffc284a2982e?pvs=21),
best engineer,Best engineer you’ve worked with,"The best engineer I’ve worked with is John Howlett. He had a rare ability to think in terms of leverage—identifying the most critical business metrics, then designing scalable, reusable systems to move them. He led the implementation of a design system adopted across the org, standardizing styling and significantly reducing development time. His GitHub contribution graph was a solid block of green—he was a prolific IC, but also a servant leader who mentored through pairing, shared knowledge generously, and consistently showed up with humility, clarity, and care.
John brought a calm, deliberate presence to everything he did. He thought not only across codebases but across the org—connecting engineering decisions to product, business, and customer outcomes. He was consistent and thoughtful in code review, intentional in documentation and shared tooling, and often the first to spot how a small internal improvement could unlock broader team efficiency. He made others better—not just through mentorship, but by improving the systems they worked within and raising the bar for technical thoughtfulness.
One moment that stuck with me: we were debugging a persistent discrepancy in Google Analytics. After days of combing through the codebase, John zoomed out and questioned the underlying reporting logic. He was right—the issue wasn’t in the implementation, but in the math behind how events were being reported. That ability to pause, reframe the problem, and get to the root—while everyone else was heads-down in the weeds—epitomized his systems thinking and data fluency. He made me want to study more, document better, and build with long-term clarity in mind.",Untitled (https://www.notion.so/2316509554a7819a918fcad6c0bf8eed?pvs=21),
why us?,Why do you want to work at GitHub?,"The past two years I have appreciated Github's hosting of Reactathon as well as Brian Douglas' excellent emcee'ing and the myriad Octocat stickers at reception. A particularly salient thrill was convincing five colleagues to drive to SF, stay 24+ hours working in the Colin P Kelly office event space on a React Native parking sign decoder, which won 2nd place at the 2018 Reactathon hackathon! Github is an excellent champion of improving developer workflows as well as fostering engineering growth and community. I carry this Github appreciation and inspiration for developer community into my professional and personal networks via giving talks on developer workflows, tools and writing recommendations for colleagues.",Untitled (https://www.notion.so/2316509554a7811d8305e5761202c002?pvs=21),
role fit,Why do you feel you would be a fit for this role?,"The most effective workflow improvements, optimizations I have developed with my engineering teams have utilized Github's robust suite of developer tools and CI/CD abilities. To ensure high code quality, I set up Github checks for peer reviews, Code Climate test coverage, complexity reporting, and passing builds & tests in Circle CI. Additionally, I have used other effective tools with developer productivity in mind: thorough Github wiki pages to onboard engineers in Uruguay and enable them to contribute/deploy production code within days of joining Hooked. I draft thoughtful PR templates which elicit information key to thorough peer and QA reviews. I firmly believe the ideal end-state for the software development lifecycle is automated testing and integration/deployment straight into production. With tenets of automation, optimization CI/CD top of mind, I am excited to contribute to Github's Actions team to promote automated software development life cycles across the industry.",Untitled (https://www.notion.so/2316509554a7811d8305e5761202c002?pvs=21),
remote work ability,"What do you suppose are the challenges of working remotely, and how would you address them?","My main considerations for effective remote work are community, work environment(productivity), and communication. In non Covid-19 lockdown times, I work out of a co-working space to create a focused workspace as well as maintain a sense of professional community. During lockdown times, I work in a home office to compartmentalize work from personal space(ie, living room, kitchen, bedroom). I use a morning routine to foster motivation/productivity via making the bed, drinking water, meditation, breakfast, exercise and an outside walk. One of the simplest morning triggers I use to transition from 'personal' time to 'work' time is a quick shower and changing into 'work' clothes (casual slacks and a simple button down). During covid-19 times, Community wise, I maintain a slack group of engineers/entrepreneurs, call friends/family and network from home via http://lunchcub.ai/ For work environment and productivity, I work in the aforementioned office and use task tracking skills like prioritized checklists, time-boxing and Pomodoro techniques. For communication, I employ simple, effective tricks: all my online accounts have a clear headshot so no colleague has to look at a boring default avatar. Additionally, I update calendar working-hours and meetings, update slack-statuses (in meeting, eating lunch, heads down, available, etc); use annotation tools like Cloud App to supplement discussion of product mocks/bugs/UIs/etc; use screen recording tools like http://record.it/ and loom for video updates or bug/work explanations; Lastly, I maintain documentation in Github wikis, Notion pages confluence. All of these communication habits contribute asynchronous knowledge transfer/updates and personable online presence. A few things I can improve for the home remote setup is a standing desk (Varidesk) for ergonomic variety, as well as an upgraded microphone and web camera for production-level voice/video call quality.",Untitled (https://www.notion.so/2316509554a7811d8305e5761202c002?pvs=21),
,,,,
